Ori_x,Ori_y,Ori_z,Ori_w,Pos_x,Pos_y,Pos_z,Obj_Pos_x,Obj_Pos_y,Obj_Pos_z,Label
0.002517,0.707105,0.000709,0.707104,-0.017625,-0.411761,0.994699,0.000232,-0.403254,0.673542,1
-0.006181,0.709426,0.005456,0.704732,0.017393,-0.406983,0.9204,-0.000981,-0.410347,0.656666,0
-0.0,0.707107,-0.0,0.707107,-0.013564,-0.401383,1.069017,-1e-06,-0.399998,0.674989,0
0.003081,0.707154,0.000295,0.707052,0.003515,-0.383668,0.95488,-0.000728,-0.401088,0.663593,1
-0.0,0.707107,-0.0,0.707107,-0.069714,-0.403677,1.015555,-1e-06,-0.399998,0.674989,0
-0.00799,0.706818,0.012109,0.707247,-0.026024,-0.439681,1.023019,0.0032,-0.415331,0.668853,0
-0.0,0.707107,-0.0,0.707107,0.010393,-0.415706,1.055673,-1e-06,-0.399998,0.674989,0
0.003691,0.70723,0.000787,0.706973,0.011186,-0.422145,0.974015,-7.5e-05,-0.405315,0.662301,0
0.003974,0.707721,-0.001061,0.706481,0.014111,-0.382192,0.954384,-0.00039,-0.401982,0.666227,1
0.000231,0.707114,0.002623,0.707095,-0.020078,-0.423554,1.022379,-0.000181,-0.40448,0.672346,0
0.302343,0.640621,-0.308438,0.634869,-0.023711,-0.425834,0.827951,-0.06347,-0.483402,-22.119877,0
-0.0,0.707107,-0.0,0.707107,-0.041454,-0.406682,1.062402,-1e-06,-0.399998,0.674989,0
0.000947,0.707391,0.002078,0.706819,-0.01877,-0.420551,1.026694,-8e-05,-0.403736,0.67315,0
-0.136537,0.699603,0.151362,0.684837,-0.009823,-0.407005,0.825952,0.283584,-2.221957,-21.428899,0
0.0,0.707107,0.0,0.707107,0.03854,-0.419919,1.102607,-1e-06,-0.399998,0.674989,0
-0.0,0.707107,-0.0,0.707107,-0.00331,-0.341213,1.059585,-1e-06,-0.399998,0.674989,0
-0.0,0.707107,-0.0,0.707107,0.035253,-0.348058,0.977767,-0.120922,-0.393588,0.67499,0
